ID,Speaker
19-198-0001_27-123349-0024.wav,this little work was finished in the year eighteen o three and intended for immediate publication it was disposed of to a bookseller it was even advertised
19-198-0002_6078-54013-0002.wav,neither the author nor the public have any other concern than as some observation is necessary upon those parts of the work which thirteen years have made comparatively obsolete
19-198-0004_7078-271888-0077.wav,chapter one no one who had ever seen catherine morland in her infancy would have supposed her born to be an heroine her situation in life
19-198-0009_3526-176653-0031.wav,dark lank hair and strong features so much for her person and not less unpropitious for heroism seemed her mind she was fond of all boy's plays and greatly preferred cricket
19-198-0011_2391-145015-0032.wav,and if she gathered flowers at all it was chiefly for the pleasure of mischief at least so it was conjectured from her always preferring those which she was forbidden to take such were her propensities
19-198-0014_5456-24741-0021.wav,she learnt the fable of the hare and many friends as quickly as any girl in england her mother wished her to learn music and catherine was sure she should like it for she was very fond of tinkling the keys of the old forlorn spinnet
19-198-0015_426-122822-0017.wav,so at eight years old she began she learnt a year and could not bear it and missus morland who did not insist on her daughters being accomplished in spite of incapacity or distaste allowed her to leave off
19-198-0019_5022-29405-0010.wav,her love of dirt gave way to an inclination for finery and she grew clean as she grew smart she had now the pleasure of sometimes hearing her father and mother remark on her personal improvement
19-198-0020_8770-295462-0022.wav,catherine grows quite a good looking girl she is almost pretty today were words which caught her ears now and then and how welcome were the sounds to look almost pretty
19-198-0022_1594-135914-0080.wav,that her elder daughters were inevitably left to shift for themselves and it was not very wonderful that catherine who had by nature nothing heroic about her should prefer cricket baseball riding on horseback
19-198-0024_7800-283478-0017.wav,she had never any objection to books at all but from fifteen to seventeen she was in training for a heroine she read all such works as heroines must read to supply their memories with those quotations which are so serviceable
19-198-0025_254-127705-0002.wav,many a flower is born to blush unseen and waste its fragrance on the desert air from thompson that it is a delightful task to teach the young idea how to shoot
19-198-0026_7511-102419-0017.wav,and from shakespeare she gained a great store of information amongst the rest that trifles light as air are to the jealous confirmation strong as proofs of holy writ
19-198-0029_2136-5140-0023.wav,she brought herself to read them and though there seemed no chance of her throwing a whole party into raptures by a prelude on the pianoforte of her own composition she could listen to other people's performance with very little fatigue
19-198-0033_3723-171115-0054.wav,this was strange indeed but strange things may be generally accounted for if their cause be fairly searched out there was not one lord in the neighbourhood no not even a baronet
19-198-0034_1081-125237-0079.wav,there was not one family among their acquaintance who had reared and supported a boy accidentally found at their door not one young man whose origin was unknown her father had no ward and the squire of the parish no children
19-198-0036_6818-68772-0039.wav,who owned the chief of the property about fullerton the village in wiltshire where the morlands lived was ordered to bath for the benefit of a gouty constitution and his lady a good humoured woman fond of miss morland and probably aware that if
19-227-0001_8095-274346-0026.wav,her mother could not but perceive them now to be greatly increased she could neither sit still nor employ herself for ten minutes together walking round the garden and orchard again and again as if nothing but motion was voluntary
19-227-0003_4160-11549-0017.wav,but when a third night's rest had neither restored her cheerfulness improved her in useful activity nor given her a greater inclination for needlework she could no longer refrain from the gentle reproof of
19-227-0004_226-122538-0014.wav,my dear catherine i am afraid you are growing quite a fine lady i do not know when poor richard's cravats would be done if he had no friend but you your head runs too much upon bath
19-227-0007_8975-270782-0068.wav,that would be turning your visit into an evil indeed wherever you are you should always be contented but especially at home because there you must spend the most of your time i did not quite like at breakfast
19-227-0008_8419-286667-0025.wav,to hear you talk so much about the french bread at northanger i am sure i do not care about the bread it is all the same to me what i eat there is a very clever essay in one of the books upstairs upon much such a subject
19-227-0013_426-122822-0013.wav,she knew not that a visitor had arrived within the last few minutes till on entering the room the first object she beheld was a young man whom she had never seen before
19-227-0014_4788-94904-0026.wav,with a look of much respect he immediately rose and being introduced to her by her conscious daughter as mister henry tilney with the embarrassment of real sensibility
19-227-0016_8051-119902-0005.wav,as the cause of his intrusion he did not address himself to an uncandid judge or a resentful heart far from comprehending him or his sister in their father's misconduct
19-227-0019_118-47824-0076.wav,but her glowing cheek and brightened eye made her mother trust that this good natured visit would at least set her heart at ease for a time and gladly therefore did she lay aside the first volume of the mirror for a future hour
19-227-0021_322-124147-0009.wav,missus morland had very early dispatched one of the children to summon him but mister morland was from home and being thus without any support at the end of a quarter of an hour she had nothing to say
19-227-0022_2843-152918-0060.wav,after a couple of minutes unbroken silence henry turning to catherine for the first time since her mother's entrance asked her with sudden alacrity if mister and missus allen were now at fullerton
19-227-0025_6147-34605-0021.wav,for missus morland thinking it probable as a secondary consideration in his wish of waiting on their worthy neighbours that he might have some explanation to give of his father's behaviour
19-227-0027_8108-274318-0044.wav,some explanation on his father's account he had to give but his first purpose was to explain himself and before they reached mister allen's grounds he had done it so well that catherine did not think it could ever be repeated too often
19-227-0030_2817-142380-0027.wav,the credit of a wild imagination will at least be all my own a very short visit to missus allen in which henry talked at random without sense or connection and catherine
19-227-0031_5688-41232-0052.wav,scarcely opened her lips dismissed them to the ecstasies of another tete a tete and before it was suffered to close she was enabled to judge how far he was sanctioned by parental authority in his present application
19-227-0033_8629-261140-0000.wav,such was the permission upon which he had now offered her his hand the affrighted catherine amidst all the terrors of expectation as she listened to this account
19-227-0034_5390-30102-0013.wav,could not but rejoice in the kind caution with which henry had saved her from the necessity of a conscientious rejection by engaging her faith before he mentioned the subject
19-227-0039_669-129061-0038.wav,and being at that time not only in daily expectation of morland's engaging isabella but likewise pretty well resolved upon marrying catherine himself
19-227-0040_1363-139304-0010.wav,his vanity induced him to represent the family as yet more wealthy than his vanity and avarice had made him believe them with whomsoever he was or was likely to be connected
19-227-0048_374-180299-0003.wav,of miss morland's being under their care and as soon as his acquaintance allowed him to judge of their treating her with parental kindness his resolution was soon formed
19-227-0050_8630-305212-0030.wav,catherine herself could not be more ignorant at the time of all this than his own children henry and eleanor perceiving nothing in her situation likely to engage their father's particular respect
19-227-0051_5049-25947-0041.wav,had seen with astonishment the suddenness continuance and extent of his attention and though latterly from some hints which had accompanied an almost positive command to his son of doing everything in his power to attach her
19-227-0052_8465-246940-0025.wav,henry was convinced of his father's believing it to be an advantageous connection it was not till the late explanation at northanger that they had the smallest idea of the false calculations which had hurried him on
19-227-0055_4788-94904-0005.wav,and spurning a friendship which could be no longer serviceable hastened to contradict all that he had said before to the advantage of the morlands confessed himself to have been totally mistaken in his opinion of their circumstances and character
19-227-0057_6019-3185-0001.wav,for after coming eagerly forward on the first overture of a marriage between the families with the most liberal proposals he had on being brought to the point by the shrewdness of the relator
19-227-0058_460-172359-0014.wav,been constrained to acknowledge himself incapable of giving the young people even a decent support they were in fact a necessitous family numerous too almost beyond example by no means respected in their own neighbourhood
